Godina,Mesec,Trošak,Amount (RSD)
2024,Januar,Dom zdravlja Jedro,4795.0
2024,Januar,Maxi,6319.19
2024,Januar,Maxi,2001.76
2024,Januar,Loto,1200.0
2024,Januar,Maxi,248.76
2024,Januar,Shop&Go,140.98
2024,Januar,Maxi,811.76
2024,Januar,Apoteka,516.33
2024,Januar,Frizer,2500.0
2024,Januar,Shop&Go,57.99
2024,Januar,Apoteka,1200.96
2024,Januar,Maxi,1753.43
2024,Januar,Maxi,140.98
2024,Januar,Infostan,9249.36
2024,Januar,Naknada,40.0
2024,Januar,SBB internet,3249.0
2024,Januar,Maxi,140.98
2024,Januar,Maxi,1749.96
2024,Januar,Maxi,1855.74
2024,Januar,Wolt,2493.99
2024,Januar,Shop&Go,140.98
2024,Januar,Apoteka,929.0
2024,Januar,Shop&Go,94.05
2024,Januar,Maxi,2235.1
2024,Januar,Maxi,1190.91
2024,Januar,Shop&Go,82.98
2024,Januar,Poklon,1334.02
2024,Januar,A1 racun,1224.49
2024,Januar,Shop&Go,57.99
2024,Januar,Maxi,3252.29
2024,Januar,Naknada,50.0
2024,Januar,Ananas,11999.67
2024,Januar,Maxi,659.97
2024,Januar,Shop&Go,70.99
2024,Januar,Dm,2069.0
2024,Januar,Netflix,599.41
2024,Januar,Lilly,799.99
2024,Januar,Maxi,2468.0
2024,Januar,Maxi,1778.33
2024,Januar,Shop&Go,49.98
2024,Januar,Shop&Go,57.99
2024,Januar,Maxi,619.22
2024,Januar,Maxi,1671.38
2024,Januar,Lidl,1476.92
2024,Januar,Maxi,1010.99
2024,Januar,Maxi,616.12
2024,Januar,Wolt,998.99
2024,Januar,Lidl,2888.96
2024,Januar,Shop&Go,151.98
2024,Januar,Naknada,350.0
2024,Januar,Shop&Go,57.99
2024,Januar,Aman,504.96
2024,Januar,Poklon,520.0
2024,Januar,Shop&Go,57.99
2024,Januar,Wolt,2502.99
2024,Januar,Shop&Go,70.99
2024,Januar,ATM,2000.0
2024,Januar,Springfild,1198.0
2024,Januar,Maxi,4048.14
2024,Januar,Dm,2152.0
2024,Januar,Loto,1200.0
2024,Februar,Shop&Go,85.0
2024,Februar,Maxi,2329.66
2024,Februar,Maxi,3320.65
2024,Februar,Dm,840.0
2024,Februar,Apoteka,1788.53
2024,Februar,Infostan,9424.59
2024,Februar,Naknada,20.0
2024,Februar,SBB internet,3249.0
2024,Februar,Naknada,20.0
2024,Februar,Majstor,11000.0
2024,Februar,ATM,3000.0
2024,Februar,Maxi,1115.9
2024,Februar,Maxi,637.94
2024,Februar,Cargo,913.72
2024,Februar,Maxi,730.0
2024,Februar,Wolt,2209.99
2024,Februar,Shop&Go,140.98
2024,Februar,Lidl,604.96
2024,Februar,Shop&Go,57.99
2024,Februar,Wolt,1728.88
2024,Februar,A1 racun,1277.97
2024,Februar,Maxi,1699.24
2024,Februar,Generali Osirguranje,433.0
2024,Februar,Lidl,2902.5
2024,Februar,Maxi,418.97
2024,Februar,Lilly,799.99
2024,Februar,Shop&Go,89.99
2024,Februar,Wolt,1868.99
2024,Februar,Shop&Go,140.98
2024,Februar,Maxi,1108.54
2024,Februar,Shop&Go,69.99
2024,Februar,Dm,3378.4
2024,Februar,Netflix,599.46
2024,Februar,Shop&Go,69.99
2024,Februar,Shop&Go,61.99
2024,Februar,Apoteka,1495.33
2024,Februar,Lidl,2762.86
2024,Februar,Shop&Go,140.98
2024,Februar,Lulu,120.0
2024,Februar,Maxi,1773.38
2024,Februar,Maxi,523.96
2024,Februar,Shop&Go,57.99
2024,Februar,Maxi,1459.85
2024,Februar,Poklon,2798.99
2024,Februar,Shop&Go,165.97
2024,Februar,Shop&Go,57.99
2024,Februar,Naknada,350.0
2024,Februar,Maxi,1730.11
2024,Februar,Shop&Go,57.99
2024,Februar,Shop&Go,57.99
2024,Februar,Glovo,1505.0
2024,Februar,OVS,4010.0
2024,Februar,Legend,2299.0
2024,Februar,Springfild,5999.0
2024,Februar,Maxi,1091.54
2024,Februar,Wolt,1118.99
2024,Februar,Loto,1200.0
2024,Februar,Wolt,1676.98
2024,Februar,Wolt,2976.99
2024,Februar,Shop&Go,57.99
2024,Februar,Maxi,1625.81
2024,Februar,Maxi,610.0
2024,Februar,Shop&Go,113.18
2024,Februar,Shop&Go,57.99
2024,Februar,Shop&Go,82.99
2024,Februar,Shop&Go,57.99
2024,Mart,Maxi,1595.01
2024,Mart,Shop&Go,57.99
2024,Mart,Shop&Go,82.99
2024,Mart,Maxi,1503.35
2024,Mart,Shop&Go,57.99
2024,Mart,Apoteka,516.33
2024,Mart,Infostan,9441.54
2024,Mart,Naknada,40.0
2024,Mart,SBB internet,3249.0
2024,Mart,ATM,5000.0
2024,Mart,Restoran,5000.0
2024,Mart,Wolt,1363.99
2024,Mart,Putarina,90.0
2024,Mart,Aman,594.95
2024,Mart,Shop&Go,57.99
2024,Mart,Maxi,1128.74
2024,Mart,Shop&Go,185.99
2024,Mart,Shop&Go,57.99
2024,Mart,Microsoft,4350.0
2024,Mart,A1 racun,1334.93
2024,Mart,Wolt,1081.3
2024,Mart,Laguna,1368.0
2024,Mart,Maxi,1909.21
2024,Mart,Wolt,1709.0
2024,Mart,Wolt,2064.0
2024,Mart,Kontrast izdavastvo,1000.0
2024,Mart,Dm,2742.0
2024,Mart,Shop&Go,165.97
2024,Mart,Shop&Go,57.99
2024,Mart,Shop&Go,317.98
2024,Mart,Shop&Go,94.99
2024,Mart,Maxi,1456.91
2024,Mart,Poklon,27000.0
2024,Mart,Shop&Go,140.98
2024,Mart,Netflix,599.49
2024,Mart,Loto,1200.0
2024,Mart,Maxi,3791.22
2024,Mart,Shop&Go,57.99
2024,Mart,Maxi,1405.2
2024,Mart,Shop&Go,140.98
2024,Mart,Shop&Go,57.99
2024,Mart,Maxi,3565.61
2024,Mart,Naknada,350.0
2024,Mart,Poklon,4291.0
2024,Mart,Wolt,1060.7
2024,Mart,Putarina,560.0
2024,Mart,Putarina,560.0
2024,Mart,Maxi,2705.65
2024,Mart,Wolt,1538.9
2024,Mart,Shop&Go,57.99
2024,Mart,Shop&Go,171.1
2024,Mart,Shop&Go,162.98
2024,Mart,Shop&Go,229.0
2024,April,SBB internet,3249.0
2024,April,Naknada,20.0
2024,April,Shop&Go,162.98
2024,April,Wolt,1081.3
2024,April,Shop&Go,245.97
2024,April,Shop&Go,229.0
2024,April,Infostan,9744.7
2024,April,Naknada,20.0
2024,April,Shop&Go,195.42
2024,April,Maxi,2135.19
2024,April,Shop&Go,146.98
2024,April,Maxi,2740.0
2024,April,Maxi,1934.92
2024,April,Kafić,460.0
2024,April,Restoran,1290.0
2024,April,Shop&Go,181.99
2024,April,Shop&Go,152.98
2024,April,Dm,4316.25
2024,April,Maxi,2348.99
2024,April,Shop&Go,140.98
2024,April,Shop&Go,153.8
2024,April,Shop&Go,94.99
2024,April,Shop&Go,51.99
2024,April,Shop&Go,57.99
2024,April,Kuhinjica,552.0
2024,April,Impresivna,3000.0
2024,April,Shop&Go,61.99
2024,April,Shop&Go,94.99
2024,April,ATM,3000.0
2024,April,Shop&Go,82.99
2024,April,Shop&Go,57.99
2024,April,Maxi,2539.33
2024,April,Kuhinjica,558.75
2024,April,Wolt,1534.0
2024,April,Lidl,3838.82
2024,April,Shop&Go,57.99
2024,April,Shop&Go,154.98
2024,April,Shop&Go,119.99
2024,April,A1 racun,1649.42
2024,April,Poklon,500.0
2024,April,Naknada,20.0
2024,April,Shop&Go,57.99
2024,April,Maxi,2436.74
2024,April,Reserved,1598.0
2024,April,Maxi,2571.02
2024,April,Shop&Go,140.98
2024,April,Maxi,2285.93
2024,April,Maxi,1038.15
2024,April,Maxi,1832.94
2024,April,Loto,1200.0
