Godina,Mesec,Trošak,Amount (RSD)
2022,Avgust,Naknada,40.0
2022,Jun,Maxi,47.99
2022,Januar,Naknada,20.0
2022,Jul,Naknada,20.0
2022,Maj,Maxi,24.18
2022,Februar,Naknada,40.0
2022,Mart,Naknada,40.0
2022,April,Naknada,40.0
2022,Jun,Maxi,47.99
2022,Jul,Lulu,40.0
2022,April,Maxi,47.99
2022,Maj,Maxi,47.99
2022,Maj,Maxi,47.99
2022,Maj,Maxi,47.99
2022,Maj,Maxi,47.99
2022,Jun,Maxi,47.99
2022,Jun,Maxi,47.99
2022,Avgust,Maxi,47.99
2022,Jun,Maxi,59.0
2022,Jul,Maxi,47.99
2022,Jul,Maxi,47.99
2022,Jul,Maxi,47.99
2022,Jul,Maxi,47.99
2022,Jun,Naknada,60.09
2022,Jun,Maxi,82.99
2022,Jul,Maxi,59.99
2022,Jun,Maxi,82.99
2022,Januar,Maxi,66.99
2022,April,Maxi,72.99
2022,Maj,Maxi,72.99
2022,Maj,Maxi,72.99
2022,Jul,Maxi,72.99
2022,Maj,Lulu,75.0
2022,Jul,Maxi,75.52
2022,Jul,Maxi,77.86
2022,Mart,Tsv Brave,79.98
2022,Maj,Maxi,82.99
2022,Jun,Lulu,85.0
2022,Jun,Maxi,110.98
2022,Jul,Maxi,82.99
2022,Jul,Maxi,82.99
2022,Jul,Maxi,82.99
2022,Jun,Maxi,113.9
2022,Jul,Lulu,85.0
2022,Jul,Lulu,85.0
2022,Jul,Maxi,89.98
2022,April,Maxi,90.98
2022,Maj,Maxi,98.99
2022,Maj,Apoteka,99.0
2022,Mart,Maxi,100.98
2022,Jul,Maxi,102.98
2022,Jul,Maxi,103.99
2022,Jul,Maxi,103.99
2022,Jul,Maxi,105.98
2022,Jul,Lulu,110.0
2022,Jun,Maxi,117.98
2022,Jul,Maxi,112.98
2022,Jun,Maxi,132.98
2022,April,Lulu,115.6
2022,Jun,Maxi,140.98
2022,Maj,Lulu,120.0
2022,April,Lulu,121.55
2022,April,Putarina,130.0
2022,Mart,Idea,130.97
2022,Jun,Putarina,150.0
2022,Jul,Maxi,137.96
2022,Maj,Lulu,140.0
2022,Jul,Lulu,140.0
2022,Jun,Putarina,150.0
2022,Mart,Idea,144.98
2022,Mart,Idea,147.98
2022,Jun,Maxi,224.0
2022,Jun,Kuhinjica,254.48
2022,Jul,Maxi,155.97
2022,April,Maxi,155.98
2022,Maj,Putarina,160.0
2022,April,Maxi,160.99
2022,April,Maxi,160.99
2022,Maj,Maxi,162.98
2022,April,Lulu,170.0
2022,Maj,Lulu,170.0
2022,Jul,Lulu,170.0
2022,Mart,Maxi,170.97
2022,Maj,Maxi,176.85
2022,April,Maxi,177.98
2022,April,Maxi,179.98
2022,April,Putarina,180.0
2022,Maj,Maxi,182.98
2022,April,Lulu,190.0
2022,Januar,Kafić,200.0
2022,Maj,Lulu,200.0
2022,April,Lulu,220.0
2022,Mart,Idea,221.97
2022,April,Aman,222.96
2022,Jun,Kantina,259.2
2022,April,Lulu,229.1
2022,Jul,Zdrava hrana,239.98
2022,Maj,Kantina,240.0
2022,Jul,Maxi,241.97
2022,Maj,Maxi,247.95
2022,Januar,Maxi,249.38
2022,Maj,Kantina,250.5
2022,Avgust,Lulu,275.0
2022,April,Lulu,256.0
2022,Jun,Kantina,288.0
2022,Maj,Kuhinjica,265.2
2022,Jul,Maxi,270.98
2022,Jun,Maxi,299.97
2022,Maj,Kantina,278.0
2022,Jul,Maxi,278.46
2022,Maj,Kantina,280.0
2022,Maj,Pepco,280.0
2022,Jul,Maxi,280.0
2022,Jul,Kafić,280.0
2022,Jun,Zdrava hrana,316.36
2022,Jun,Maxi,330.0
2022,Jul,Pepco,300.0
2022,Jul,Kafić,300.0
2022,Maj,Maxi,304.96
2022,Jul,Kafić,310.0
2022,Jul,Kantina,315.68
2022,Jun,Kuhinjica,348.0
2022,Maj,Lulu,320.0
2022,Jul,Kantina,324.0
2022,Jun,Odrzavanje racuna,350.0
2022,Maj,Kantina,332.0
2022,Maj,Kantina,338.0
2022,Jul,Kuhinjica,338.3
2022,Jul,Kantina,339.3
2022,Jul,Zdrava hrana,342.92
2022,Jun,Kuhinjica,370.8
2022,Januar,Odrzavanje racuna,350.0
2022,Februar,Odrzavanje racuna,350.0
2022,Mart,Odrzavanje racuna,350.0
2022,April,Odrzavanje racuna,350.0
2022,Maj,Odrzavanje racuna,350.0
2022,Jun,Maxi,380.0
2022,Jul,Odrzavanje racuna,350.0
2022,Maj,Kafić,350.0
2022,Maj,Kantina,350.0
2022,Maj,Kantina,357.0
2022,Maj,Kafić,360.0
2022,Jul,Kantina,368.0
2022,Jul,Kuhinjica,368.9
2022,Jun,Kantina,409.0
2022,Maj,Kuhinjica,375.7
2022,Maj,Lulu,376.0
2022,Jul,Kuhinjica,377.4
2022,Maj,Maxi,377.95
2022,April,Lulu,380.0
2022,Jun,Kantina,424.0
2022,Jul,Maxi,383.9
2022,Januar,Tehnomania,390.0
2022,Maj,Lulu,391.0
2022,April,Maxi,395.25
2022,Februar,Hidroponika,396.0
2022,Avgust,Lulu,467.5
2022,Maj,Kantina,416.0
2022,Jun,Apoteka,486.0
2022,Maj,Lulu,432.0
2022,Mart,Maxi,434.98
2022,Jul,Kantina,450.9
2022,April,Lulu,457.0
2022,Jun,Kantina,500.4
2022,Mart,Idea,467.95
2022,Maj,Apoteka,470.32
2022,Maj,Maxi,473.94
2022,Februar,Maxi,474.43
2022,Jun,Kantina,551.0
2022,Jul,Kuhinjica,493.0
2022,Jun,Wolt,624.0
2022,Maj,Maxi,505.96
2022,Jul,Wolt,514.0
2022,Januar,Apoteka,516.33
2022,April,Apoteka,516.33
2022,Maj,Apoteka,516.33
2022,Jul,Kafić,530.0
2022,Jul,Kantina,535.5
2022,Mart,Pepco,540.0
2022,Jun,Kafić,660.0
2022,Jul,Glovo,623.0
2022,Jun,Kantina,683.0
2022,April,Maxi,649.96
2022,Mart,Wolt,659.0
2022,Jun,Dm,740.0
2022,April,Maxi,677.18
2022,Jun,Apoteka,852.39
2022,Jul,Maxi,684.03
2022,April,Kafić,690.0
2022,Avgust,Maxi,958.95
2022,April,Maxi,771.94
