Godina,Mesec,Trošak,Amount (RSD)
2021,Decembar,Infostan,8014.98
2021,Decembar,SBB internet,6398.0
2021,Decembar,Telekom,1698.99
2021,Decembar,Odrzavanje racuna,350.0
2021,Decembar,Naknada,80.0
2021,Januar,Maxi,1074.35
2021,Januar,Tehnomania,3310.0
2021,Januar,Kineski restoran,2030.0
2021,Januar,Maxi,898.87
2021,Januar,Maxi,650.97
2021,Januar,Wolt,510.0
2021,Januar,Wolt,1290.0
2021,Januar,Maxi,1167.29
2021,Januar,McDonald's,1050.0
2021,Januar,Dm,408.0
2021,Januar,Maxi,1194.88
2021,Januar,Maxi,1370.82
2021,Januar,Wolt,660.0
2021,Januar,Wolt,1380.0
2021,Januar,Maxi,1275.93
2021,Januar,Cargo,676.3
2021,Januar,Maxi,569.56
2021,Januar,Maxi,1870.48
2021,Januar,Maxi,130.98
2021,Januar,Maxi,1140.73
2021,Januar,Telefon,3189.0
2021,Januar,Cargo Batler,904.0
2021,Februar,BestOptik,10700.0
2021,Februar,Maxi,158.98
2021,Februar,Maxi,670.57
2021,Februar,Lidl,1341.09
2021,Februar,Maxi,838.56
2021,Februar,Cargo,703.2
2021,Februar,Wolt,1380.0
2021,Februar,Maxi,1680.41
2021,Februar,Cargo,637.4
2021,Februar,Cargo Batler,952.0
2021,Februar,Maxi,2029.51
2021,Februar,Labrador,6990.0
2021,Februar,LC Waikiki,1306.0
2021,Februar,Maxi,467.98
2021,Februar,Maxi,1209.92
2021,Februar,Wolt,820.0
2021,Februar,Maxi,547.96
2021,Februar,Lidl,2853.88
2021,Februar,Maxi,1557.76
2021,Februar,Maxi,878.93
2021,Mart,Dm,1081.0
2021,Mart,Maxi,1192.93
2021,Mart,Maxi,737.34
2021,Mart,Poslastičarnica,480.0
2021,Mart,Apoteka,174.32
2021,Mart,Maxi,744.3
2021,Mart,Maxi,2488.41
2021,Mart,Cargo,693.7
2021,Mart,Maxi,1378.96
2021,Mart,Cargo Batler,1118.0
2021,Mart,Maxi,1643.48
2021,Mart,Mega Maxi,1056.97
2021,Mart,Wolt,669.0
2021,Mart,Wolt,799.0
2021,Mart,Apoteka,101.25
2021,Mart,Zdrava hrana,467.5
2021,Mart,Maxi,1856.2
2021,Mart,Maxi,1028.37
2021,Mart,Apoteka,30.0
2021,Mart,Wolt,1179.0
2021,Mart,Maxi,891.91
2021,Mart,Maxi,1129.22
2021,Mart,Wolt,1180.0
2021,Mart,Wolt,989.0
2021,Mart,Wolt,699.0
2021,Mart,Cargo Batler,1748.0
2021,Mart,Maxi,1222.88
2021,Mart,Maxi,1121.49
2021,Mart,Wolt,1349.0
2021,April,Tsv Brave,89.99
2021,April,Apoteka,519.16
2021,April,Maxi,2642.26
2021,April,Kafić,1140.0
2021,April,Maxi,144.98
2021,April,Kafić,605.0
2021,April,Wolt,1509.0
2021,April,Wolt,719.0
2021,April,Maxi,2494.99
2021,April,Kafić,550.0
2021,April,Wolt,779.0
2021,April,Wolt,1159.0
2021,April,Maxi,1501.88
2021,April,Wolt,1349.0
2021,April,Maxi,143.97
2021,April,Maxi,231.97
2021,April,McDonald's,1190.0
2021,April,Maxi,742.15
2021,April,Ikea,1646.0
2021,April,Maxi,1458.73
2021,April,Maxi,1444.52
2021,April,Tehnomania,1332.0
2021,April,Dm,675.0
2021,April,Maxi,480.95
2021,April,Maxi,1396.26
2021,April,Maxi,1158.39
2021,April,Maxi,753.46
2021,Maj,Wolt,1179.0
2021,Maj,Wolt,639.0
2021,Maj,Cargo,394.6
2021,Maj,Stomatolog,10700.0
2021,Maj,Apoteka,450.79
2021,Maj,Maxi,1317.68
2021,Maj,Maxi,2572.9
2021,Maj,Maxi,147.97
2021,Maj,Cargo,379.7
2021,Maj,Cargo,474.7
2021,Maj,Maxi,124.98
2021,Maj,Maxi,1826.0
2021,Maj,Maxi,1247.26
2021,Maj,Wolt,1349.0
2021,Maj,Cargo Batler,676.0
2021,Maj,Aroma,87.0
2021,Maj,Dm,1237.0
2021,Maj,Maxi,1277.08
2021,Maj,Maxi,83.98
2021,Maj,Restoran,1150.0
2021,Maj,Idea,219.97
2021,Maj,Apoteka,3069.36
2021,Maj,Maxi,933.38
2021,Maj,Maxi,672.84
2021,Maj,Maxi,148.99
2021,Maj,Maxi,431.94
2021,Maj,Maxi,1809.61
2021,Maj,Richard giros,350.0
2021,Maj,Idea,69.99
2021,Maj,Maxi,148.99
2021,Maj,Asia Food,1100.0
2021,Maj,Wolt,1349.0
2021,Maj,Cargo Batler,1252.0
2021,Jun,Maxi,1765.49
2021,Jun,Maxi,1538.84
2021,Jun,Wolt,849.0
2021,Jun,Wolt,1199.0
2021,Jun,Lidl,1419.9
2021,Jun,Maxi,429.98
2021,Jun,Cargo,529.1
2021,Jun,Cargo,487.7
2021,Jun,Maxi,299.97
2021,Jun,McDonald's,690.0
2021,Jun,Maxi,625.8
2021,Jun,Cargo Batler,1252.0
2021,Jun,Wolt,849.0
2021,Jun,Maxi,167.78
2021,Jun,Maxi,132.98
2021,Jun,Maxi,869.87
2021,Jun,Apoteka,1180.88
2021,Jun,Apoteka,496.48
2021,Jun,Maxi,159.98
2021,Jun,Maxi,1585.6
2021,Jun,Wolt,669.0
2021,Jun,Wolt,779.0
2021,Jun,Maxi,2658.75
2021,Jun,Wolt,1349.0
2021,Jun,Wolt,1349.0
2021,Jun,Cargo,865.0
2021,Jun,Wolt,849.0
2021,Jun,Wolt,1359.0
2021,Jun,Maxi,1584.66
2021,Jul,Kontiki,85000.0
2021,Jul,Dm,1756.0
2021,Jul,Maxi,350.0
2021,Jul,Maxi,896.56
2021,Jul,CCC,1510.0
2021,Jul,H&M,1499.0
2021,Jul,KOTON,2096.0
2021,Jul,KOTON,345.0
2021,Jul,McDonald's,680.0
2021,Jul,McDonald's,160.0
2021,Jul,Lulu,130.0
2021,Jul,Maxi,74.99
2021,Jul,Apoteka,174.32
2021,Jul,Maxi,161.98
2021,Jul,Maxi,442.96
2021,Jul,Maxi,163.97
2021,Jul,Cargo Batler,612.0
2021,Jul,Maxi,62.99
2021,Jul,Maxi,817.93
2021,Jul,Maxi,147.98
2021,Jul,Wolt,619.0
2021,Jul,Maxi,84.97
2021,Jul,Maxi,973.92
2021,Jul,Maxi,562.27
2021,Jul,Wolt,1164.0
2021,Jul,Tehnomania,1599.0
2021,Jul,Lulu,160.0
2021,Jul,Kafić,490.0
2021,Jul,Wolt,669.0
2021,Jul,Wolt,1349.0
2021,Jul,Wolt,724.92
2021,Jul,Lulu,175.0
2021,Jul,Maxi,232.98
2021,Jul,Lulu,245.0
2021,Jul,Maxi,887.22
2021,Jul,Maxi,157.97
2021,Jul,Wolt,1439.0
2021,Jul,Tehnomania,2190.0
2021,Jul,Maxi,125.98
2021,Jul,Wolt,1349.0
2021,Jul,Wolt,849.0
2021,Jul,Cargo,1463.0
2021,Jul,Wolt,1024.0
2021,Jul,Cargo,732.5
2021,Avgust,Lulu,105.0
2021,Avgust,Maxi,142.97
2021,Avgust,Lulu,100.0
2021,Avgust,Maxi,115.98
2021,Avgust,Maxi,1837.66
2021,Avgust,Maxi,528.98
2021,Avgust,Maxi,1248.8
2021,Avgust,KOTON,1999.0
2021,Avgust,Maxi,127.98
2021,Avgust,Poklon,1000.0
2021,Avgust,Lilly,1798.0
2021,Avgust,Wolt,1499.0
2021,Avgust,Apoteka,93.38
2021,Avgust,Maxi,3187.97
2021,Avgust,Apoteka,42.0
2021,Avgust,Kontiki,5206.0
2021,Avgust,Maxi,978.89
2021,Avgust,Wolt,1349.0
2021,Avgust,Wolt,1469.0
2021,Avgust,Wolt,849.0
2021,Avgust,Wolt,920.0
2021,Avgust,Apoteka,227.7
2021,Avgust,Apoteka,2964.0
2021,Avgust,Maxi,702.92
2021,Avgust,Maxi,764.97
2021,Avgust,Wolt,1440.0
